offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
South Carolina,SEC,Florida,SEC,400603934,4006039348,false,2,16,84,3,40,2,16,84,3,27,,13,2,0,INT
Florida,SEC,South Carolina,SEC,400603934,4006039349,false,2,18,18,3,27,2,5,5,1,1,2,26,5,13,INT
Tennessee,SEC,North Texas,Conference USA,400603935,4006039351,true,1,44,56,15,0,1,100,0,13,46,1,14,5,56,TD
North Texas,Conference USA,Tennessee,SEC,400603935,4006039352,false,1,69,69,13,46,1,69,69,12,29,1,17,3,0,PUNT
Tennessee,SEC,North Texas,Conference USA,400603935,4006039353,false,1,26,74,12,29,1,65,35,8,35,3,54,10,39,PUNT
North Texas,Conference USA,Tennessee,SEC,400603935,4006039354,false,1,96,96,8,35,1,48,48,2,29,6,6,10,48,PUNT
Tennessee,SEC,North Texas,Conference USA,400603935,4006039355,true,1,29,71,2,29,2,100,0,14,57,2,32,8,71,TD
North Texas,Conference USA,Tennessee,SEC,400603935,4006039356,false,2,75,75,14,57,2,57,57,11,15,3,42,7,18,DOWNS
Tennessee,SEC,North Texas,Conference USA,400603935,4006039357,false,2,57,43,11,15,2,57,43,10,21,,54,3,0,PUNT
North Texas,Conference USA,Tennessee,SEC,400603935,4006039358,false,2,92,92,10,21,2,53,53,6,7,4,14,8,39,DOWNS
Tennessee,SEC,North Texas,Conference USA,400603935,4006039359,true,2,54,46,6,7,2,84,16,2,41,3,26,8,30,FG
Western Carolina,,Texas A&M,SEC,400603936,4006039361,false,1,83,83,15,0,1,77,77,13,15,1,45,3,6,PUNT
Texas A&M,SEC,Western Carolina,,400603936,4006039362,false,1,37,63,13,15,1,52,48,12,45,,30,2,15,INT
Western Carolina,,Texas A&M,SEC,400603936,4006039363,false,1,30,30,12,45,1,9,9,10,5,2,40,8,21,INT
Texas A&M,SEC,Western Carolina,,400603936,4006039364,true,1,7,93,10,5,1,100,0,5,47,4,18,14,93,TD
Western Carolina,,Texas A&M,SEC,400603936,4006039365,false,1,76,76,5,47,1,44,44,3,51,1,56,5,32,PUNT
Texas A&M,SEC,Western Carolina,,400603936,4006039366,false,1,29,71,3,51,1,67,33,1,14,2,37,8,38,MISSED FG
Western Carolina,,Texas A&M,SEC,400603936,4006039367,false,1,67,67,1,14,2,73,73,14,8,2,6,3,-6,PUNT
Texas A&M,SEC,Western Carolina,,400603936,4006039368,true,2,69,31,14,8,2,100,0,12,41,1,27,3,31,TD
Western Carolina,,Texas A&M,SEC,400603936,4006039369,true,2,82,82,12,41,2,0,0,11,58,,43,2,82,TD
Kentucky,SEC,Vanderbilt,SEC,400603937,4006039371,true,1,60,60,15,0,1,21,21,10,15,4,45,14,39,FG
Vanderbilt,SEC,Kentucky,SEC,400603937,4006039372,false,1,24,76,10,15,1,28,72,8,18,1,57,3,4,PUNT
Kentucky,SEC,Vanderbilt,SEC,400603937,4006039373,false,1,77,77,8,18,1,76,76,6,58,1,20,3,1,PUNT
Vanderbilt,SEC,Kentucky,SEC,400603937,4006039374,false,1,36,64,6,58,1,39,61,6,17,,41,2,3,FUMBLE
Kentucky,SEC,Vanderbilt,SEC,400603937,4006039375,false,1,39,39,6,17,1,1,1,4,51,1,26,6,38,DOWNS
Vanderbilt,SEC,Kentucky,SEC,400603937,4006039376,false,1,1,99,4,51,1,54,46,0,59,3,52,9,53,PUNT
Kentucky,SEC,Vanderbilt,SEC,400603937,4006039377,false,1,86,86,0,59,1,96,96,0,42,,17,2,-10,FUMBLE
Vanderbilt,SEC,Kentucky,SEC,400603937,4006039378,true,1,96,4,0,42,1,100,0,0,27,,15,1,4,TD
Kentucky,SEC,Vanderbilt,SEC,400603937,4006039379,false,1,69,69,0,27,2,61,61,14,0,1,27,3,8,PUNT
UT San Antonio,Conference USA,Arizona,Pac-12,400756882,4007568821,true,1,78,78,15,0,1,80,80,14,25,,35,2,-2,INT TD
UT San Antonio,Conference USA,Arizona,Pac-12,400756882,4007568822,false,1,91,91,14,25,1,81,81,12,57,1,28,5,10,PUNT
Arizona,Pac-12,UT San Antonio,Conference USA,400756882,4007568823,false,1,40,60,12,57,1,44,56,12,1,,56,3,4,PUNT
UT San Antonio,Conference USA,Arizona,Pac-12,400756882,4007568824,false,1,93,93,12,1,1,16,16,5,14,6,47,17,77,MISSED FG
Arizona,Pac-12,UT San Antonio,Conference USA,400756882,4007568825,true,1,20,80,5,14,1,100,0,2,7,3,7,11,80,TD
UT San Antonio,Conference USA,Arizona,Pac-12,400756882,4007568826,true,1,79,79,2,7,2,2,2,12,39,4,28,13,77,FG
Arizona,Pac-12,UT San Antonio,Conference USA,400756882,4007568827,false,2,25,75,12,39,2,25,75,12,32,,7,1,5,FUMBLE
UT San Antonio,Conference USA,Arizona,Pac-12,400756882,4007568828,true,2,30,30,12,32,2,0,0,10,9,2,23,7,30,TD
Arizona,Pac-12,UT San Antonio,Conference USA,400756882,4007568829,true,2,25,75,10,9,2,100,0,9,5,1,4,6,75,TD
Utah,Pac-12,Michigan,Big Ten,400756883,4007568831,true,1,25,75,15,0,1,88,12,10,30,4,30,10,63,FG
Michigan,Big Ten,Utah,Pac-12,400756883,4007568832,false,1,75,75,10,30,1,21,21,5,48,4,42,10,54,INT
Utah,Pac-12,Michigan,Big Ten,400756883,4007568833,false,1,14,86,5,48,1,20,80,3,48,2,,3,6,PUNT
Michigan,Big Ten,Utah,Pac-12,400756883,4007568834,false,1,55,55,3,48,1,46,46,1,54,1,54,3,9,PUNT
Utah,Pac-12,Michigan,Big Ten,400756883,4007568835,false,1,3,97,1,54,1,2,98,1,3,,51,3,-1,PUNT
Michigan,Big Ten,Utah,Pac-12,400756883,4007568836,true,1,41,41,1,3,2,12,12,14,13,1,50,6,29,FG
Utah,Pac-12,Michigan,Big Ten,400756883,4007568837,true,2,25,75,14,13,2,100,0,10,33,3,40,11,75,TD
Michigan,Big Ten,Utah,Pac-12,400756883,4007568838,false,2,75,75,10,33,2,67,67,9,26,1,7,3,8,PUNT
Utah,Pac-12,Michigan,Big Ten,400756883,4007568839,false,2,30,70,9,26,2,26,74,8,10,1,16,3,-4,PUNT
USC,Pac-12,Arkansas State,Sun Belt,400756884,4007568841,true,1,23,77,15,0,1,100,0,13,46,1,14,4,77,TD
