"","Team","Team.Conference","Gender","Goals.For","Goals.Against","Total.Wins","Total.Losses","Total.Ties","Total.Games","Total.Shut.Out","Total.Shut.Outs","Plus.Minus","Pct.Won","Plus.Minus.Rank","Opp.Wins","Opp.Losses","Opp.Ties","Opp.Goals.For","Opp.Goals.Against","Opp.Pct.Won","Conference.Pct.Won","Rank.Pct.Won","United.Soccer.Coaches.Ranking"
"333","Pacific","West Coast","M",17,27,6,10,1,17,6,3,-10,0.352941176470588,46,55,65,9,182,186,0.426356589147287,0.485714285714286,6,0
"334","Pacific","West Coast","W",13,43,3,16,0,19,10,2,-30,0.157894736842105,69,17,31,6,62,85,0.314814814814815,0.489795918367347,8,0
"335","Penn","Ivy League","M",15,13,7,5,4,16,4,6,2,0.4375,34,50,60,11,166,192,0.413223140495868,0.413533834586466,14,0
"336","Penn","Ivy League","W",21,16,8,7,1,16,5,6,5,0.5,36,38,86,16,125,245,0.271428571428571,0.575757575757576,2,0
"337","Penn State","Big Ten","M",38,24,12,4,3,19,2,5,14,0.631578947368421,22,81,102,23,229,276,0.393203883495146,0.44,11,18
"338","Penn State","Big Ten","W",51,27,17,7,1,25,3,7,24,0.68,17,141,142,33,451,439,0.44620253164557,0.491166077738516,6,13
"339","Pepperdine","West Coast","W",38,26,11,6,4,21,1,9,12,0.523809523809524,29,97,98,19,337,333,0.453271028037383,0.489795918367347,8,0
"340","Pittsburgh","Atlantic Coast","M",36,29,10,8,2,20,5,6,7,0.5,29,91,81,22,262,247,0.469072164948454,0.5625,1,0
"341","Pittsburgh","Atlantic Coast","W",24,32,5,10,3,18,5,2,-8,0.277777777777778,49,36,48,13,120,145,0.371134020618557,0.546099290780142,3,0
"342","Portland","West Coast","M",27,19,9,7,1,17,4,6,8,0.529411764705882,28,47,88,21,163,235,0.301282051282051,0.485714285714286,6,0
"343","Portland","West Coast","W",20,21,6,6,5,17,4,3,-1,0.352941176470588,42,55,50,14,161,155,0.46218487394958,0.489795918367347,8,0
"344","Portland State","Big Sky","W",15,39,4,15,0,19,9,2,-24,0.210526315789474,63,14,53,8,65,151,0.186666666666667,0.309278350515464,31,0
"345","Prairie View A&M","Southwestern Athletic","W",28,34,13,8,0,21,8,11,-6,0.619047619047619,47,66,129,6,237,521,0.328358208955224,0.372549019607843,28,0
"346","Presbyterian","Big South","M",24,39,6,13,1,20,5,2,-15,0.3,51,32,50,6,133,170,0.363636363636364,0.419161676646707,13,0
"347","Presbyterian","Big South","W",21,40,5,13,0,18,5,2,-19,0.277777777777778,59,18,55,8,86,175,0.222222222222222,0.440860215053763,15,0
"348","Princeton","Ivy League","M",33,20,10,4,3,17,3,4,13,0.588235294117647,23,59,92,25,224,307,0.335227272727273,0.413533834586466,14,0
"349","Princeton","Ivy League","W",23,16,8,6,3,17,3,8,7,0.470588235294118,34,49,75,17,140,185,0.347517730496454,0.575757575757576,2,0
"350","Providence","Big East","M",41,23,16,7,0,23,1,11,18,0.695652173913043,18,104,116,25,333,361,0.424489795918367,0.547368421052632,2,14
"351","Providence","Big East","W",18,23,8,9,3,20,8,4,-5,0.4,46,58,74,14,195,216,0.397260273972603,0.453125,14,0
"352","Purdue","Big Ten","W",19,18,8,9,3,20,5,6,1,0.4,40,69,70,16,183,170,0.445161290322581,0.491166077738516,6,0
"353","Purdue Fort Wayne","Summit League","M",7,50,2,15,0,17,11,1,-43,0.117647058823529,66,11,20,4,43,60,0.314285714285714,0.327102803738318,22,0
"354","Purdue Fort Wayne","Summit League","W",10,27,4,10,4,18,9,4,-17,0.222222222222222,57,8,57,7,42,162,0.111111111111111,0.432748538011696,17,0
"355","Quinnipiac","Metro Athletic Conference","W",24,18,10,8,1,19,7,7,6,0.526315789473684,35,61,77,26,163,223,0.371951219512195,0.416666666666667,24,0
"356","Quinnipiac","Metro Atlantic Athletic Conference","M",35,26,9,6,3,18,3,2,9,0.5,27,49,93,13,201,318,0.316129032258064,0.404040404040404,16,0
"357","Radford","Big South","M",24,35,5,11,2,18,4,1,-11,0.277777777777778,47,29,55,3,113,174,0.333333333333333,0.419161676646707,13,0
"358","Radford","Big South","W",37,20,16,6,0,22,5,10,17,0.727272727272727,24,83,165,25,307,462,0.304029304029304,0.440860215053763,15,0
