ID,Name,Event,Round,Place,Time,Flag,Pts,Event Name,Date,Course,Gender,Season
53,Andrew Parker,100 Y Back,Finals,19th,48.14,,767,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
54,Robert Hemmingsen,100 Y Fly,Finals,21st,48.29,,766,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
55,Matthew Boyd,200 Y IM,Prelims,46th,01:49.5,,764,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
56,Michael Nelson,100 Y Breast,Finals,18th,54.75,,763,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
57,Brandon Farnum,100 Y Free,Prelims,28th,44.64,,761,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
58,Tyler Nichols,100 Y Fly,Prelims,27th,48.39,,761,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
59,Colter Allen,200 Y IM,Prelims,49th,01:49.6,,761,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
60,Christopher Dawson,400 Y IM,Prelims,27th,03:55.1,,760,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
61,Thomas Rathbun,200 Y Back,Prelims,28th,01:46.2,,758,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
62,Michael Nelson,200 Y Breast,Prelims,21st,01:59.2,,758,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
63,Charles Holliday,50 Y Free,Prelims,25th,20.26,,758,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
64,Tyler Nichols,100 Y Breast,Prelims,28th,54.9,,757,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
65,Robert Hemmingsen,50 Y Free,Prelims,26th,20.27,,757,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
66,Tyler Nichols,100 Y Fly,Finals,24th,48.51,,755,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
67,Brandon Farnum,50 Y Free,Prelims,27th,20.28,,755,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
68,Maverick Hovey,100 Y Fly,Prelims,31st,48.58,,752,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
69,Robert Hemmingsen,50 Y Free,Finals,21st,20.31,,752,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
70,Brandon Farnum,50 Y Free,Finals,21st,20.31,,752,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
71,Michael Nelson,200 Y Breast,Finals,21st,01:59.6,,749,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
72,Tyler Nichols,200 Y Breast,Finals,22nd,01:59.7,,747,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
73,Maverick Hovey,100 Y Fly,Timed Finals,1st,48.75,,744,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
74,Tyler Nichols,200 Y Breast,Prelims,24th,02:00.0,,742,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
75,Andrew Parker,100 Y Back,Prelims,31st,48.69,,741,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
76,Kyle Patnode,100 Y Fly,Prelims,33rd,48.9,,737,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
77,David Ernstsson,50 Y Free,Prelims,35th,20.48,,734,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
78,Charles Holliday,50 Y Free,Finals,24th,20.5,,731,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
79,Charles Holliday,100 Y Free,Prelims,42nd,45.27,,730,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
80,Tyler Nichols,50 Y Free,Timed Finals,1st,20.52,,729,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
81,Luke Snow,100 Y Free,Prelims,43rd,45.28,,729,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
82,Kristopher Hoce,400 Y IM,Prelims,38th,03:58.4,,729,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
83,Roman Trussov,50 Y Free,Prelims,38th,20.52,,729,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
84,Colter Allen,100 Y Fly,Prelims,35th,49.12,,728,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
85,Michael Vinyard,200 Y Fly,Prelims,28th,01:50.6,,724,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
86,Luke Snow,50 Y Free,Prelims,40th,20.57,,724,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
87,Colter Allen,200 Y Fly,Prelims,29th,01:50.8,,721,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
88,Robert Hemmingsen,100 Y Free,Prelims,51st,45.54,,717,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
89,Matthew Boyd,100 Y Back,Prelims,38th,49.3,,714,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
90,Jerzy Twarowski,50 Y Free,Prelims,45th,20.68,,712,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
91,Kristopher Hoce,200 Y IM,Prelims,61st,01:52.1,,711,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
92,Kyle Patnode,200 Y IM,Prelims,63rd,01:52.5,,704,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
93,Kristopher Hoce,200 Y Fly,Prelims,31st,01:52.1,,696,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
94,Matthew Boyd,200 Y Back,Prelims,39th,01:49.3,,695,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
95,Brandon Farnum,100 Y Fly,Prelims,41st,49.9,,694,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
96,Maverick Hovey,50 Y Free,Prelims,54th,20.86,,694,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
97,Maverick Hovey,100 Y Free,Prelims,55th,46.16,,689,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
98,Michael Vinyard,100 Y Fly,Prelims,43rd,50.79,,658,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
99,Kyle Patnode,100 Y Back,Prelims,45th,50.71,,656,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
100,Michael Nelson,50 Y Free,Prelims,64th,21.33,,649,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
101,Andrew Parker,50 Y Free,Prelims,68th,21.54,,630,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
102,Charles Holliday,100 Y Fly,Prelims,45th,52.61,,592,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
103,David Ernstsson,50 Y Free,Timed Finals,4th,22.45,,557,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
104,Matt Mauser,10M Diving,Finals,15th,279.1,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
105,Addison Boschult,10M Diving,Finals,6th,387.2,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
106,Matt Mauser,10M Diving,Prelims,14th,291.55,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
107,Evan Hull,10M Diving,Prelims,26th,209.45,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
108,Addison Boschult,10M Diving,Prelims,4th,394.55,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
109,Matt Mauser,3M Diving,Finals,16th,278.8,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
110,Addison Boschult,3M Diving,Finals,13th,342.5,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
111,Matt Mauser,3M Diving,Prelims,15th,329.05,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
112,Evan Hull,3M Diving,Prelims,30th,215.2,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
113,Brandis Heffner,3M Diving,Prelims,20th,306.85,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
114,Addison Boschult,3M Diving,Prelims,12th,348.3,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
115,Addison Boschult,1M Diving,Finals,16th,293.8,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
116,Matt Mauser,1M Diving,Prelims,18th,294.95,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
117,Evan Hull,1M Diving,Prelims,31st,232.5,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
118,Brandis Heffner,1M Diving,Prelims,23rd,286.5,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
119,Addison Boschult,1M Diving,Prelims,12th,309.65,,–,Big Ten Championship,25-Feb-15,SCY,M,2014-2015
1,Emma Sougstad,100 Y Breast,Prelims,18th,59.96,,870,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
2,Becky Stoughton,500 Y Free,Finals,13th,04:39.8,,865,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
3,Becky Stoughton,1650 Y Free,Timed Finals,11th,15:59.4,,863,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
4,Becky Stoughton,500 Y Free,Prelims,16th,04:40.4,,859,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
5,Emma Sougstad,200 Y Breast,Prelims,29th,02:11.2,,845,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
6,Emma Sougstad,200 Y IM,Prelims,42nd,01:59.1,,826,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
7,Becky Stoughton,200 Y Free,Prelims,43rd,01:47.2,,790,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
8,Calli Head,10M Diving,Prelims,40th,208.7,,–,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
9,Joelle Christy,1M Diving,Prelims,41st,253.55,,–,NCAA Division I Championship,19-Mar-15,SCY,W,2014-2015
1,Iowa (A),200 Y Medley Relay,Prelims,18th,01:26.2,,870,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
2,Iowa (A),400 Y Medley Relay,Prelims,19th,03:10.0,,870,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
3,grant betulius,100 Y Back,Prelims,–,46.6,R,846,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
4,Roman Trussov,200 Y Breast,Prelims,28th,01:55.0,,843,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
5,Roman Trussov,100 Y Breast,Prelims,24th,53.17,,834,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
6,grant betulius,100 Y Back,Prelims,27th,46.85,,832,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
7,grant betulius,200 Y Back,Prelims,41st,01:45.0,,784,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
8,grant betulius,50 Y Back,Prelims,–,21.68,R,762,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
9,Addison Boschult,10M Diving,Finals,10th,386.5,,–,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
10,Addison Boschult,10M Diving,Prelims,13th,378.4,,–,NCAA Division I Championship,26-Mar-15,SCY,M,2014-2015
1,Joseph Halsmer,200 Y Free,Timed Finals,1st,01:42.6,,702,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
2,Jack Allen,100 Y Fly,Timed Finals,1st,50.3,,678,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
3,Roman Trussov,100 Y IM,Timed Finals,1st,52.36,,678,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
4,Logan Samuelson,500 Y Free,Timed Finals,1st,04:43.3,,675,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
5,Logan Samuelson,200 Y Free,Timed Finals,2nd,01:44.1,,673,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
6,Iowa (C),200 Y Medley Relay,Timed Finals,1st,01:33.9,,672,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
7,Iowa (D),200 Y Medley Relay,Timed Finals,2nd,01:34.1,,668,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
8,Jack Smith,50 Y Free,Timed Finals,1st,21.13,,668,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
9,Brandon Farnum,100 Y Free,Timed Finals,1st,46.75,,663,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
10,Iowa (B),200 Y Medley Relay,Timed Finals,3rd,01:34.4,,662,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
11,Ben Colin,500 Y Free,Timed Finals,–,04:45.1,,662,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
12,Joseph Halsmer,50 Y Free,Timed Finals,–,21.22,R,659,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
13,Iowa (A),200 Y Medley Relay,Timed Finals,4th,01:34.5,,659,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
14,Jack Allen,200 Y Free,Timed Finals,3rd,01:45.0,,656,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
15,Kyle Gannon,100 Y Free,Timed Finals,–,47.2,,644,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
16,Iowa (A),200 Y Free Relay,Timed Finals,1st,01:26.0,,640,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
17,Matt Kamin,50 Y Free,Timed Finals,2nd,21.51,,633,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
18,Jerzy Twarowski,500 Y Free,Timed Finals,–,04:49.6,,632,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
19,Tyler Nichols,50 Y Free,Timed Finals,–,21.56,R,629,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
20,Michael Nelson,100 Y Breast,Timed Finals,1st,58.48,,627,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
21,Iowa (C),200 Y Free Relay,Timed Finals,2nd,01:26.8,,621,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
22,Luke Snow,100 Y Free,Timed Finals,–,47.77,,621,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
23,David Ernstsson,100 Y IM,Timed Finals,3rd,53.9,,621,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
24,Iowa (B),200 Y Free Relay,Timed Finals,3rd,01:26.9,,620,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
25,Roman Trussov,50 Y Free,Timed Finals,–,21.72,R,615,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
26,Maverick Hovey,100 Y Fly,Timed Finals,–,51.97,,614,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
27,Matthew Boyd,100 Y Back,Timed Finals,1st,51.9,,612,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
28,Quinn Risley,50 Y Free,Timed Finals,3rd,21.79,,609,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
29,Colter Allen,100 Y IM,Timed Finals,4th,54.3,,608,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
30,Andrew Eisen,500 Y Free,Timed Finals,–,04:53.6,,607,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
31,Jerzy Twarowski,100 Y Free,Timed Finals,–,48.24,,603,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
32,Maverick Hovey,50 Y Free,Timed Finals,–,21.91,R,599,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
33,Iowa (D),200 Y Free Relay,Timed Finals,5th,01:27.9,,598,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
34,Christopher Dawson,100 Y IM,Timed Finals,5th,54.71,,594,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
35,Robert Hemmingsen,100 Y Back,Timed Finals,–,52.75,,583,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
36,Tyler Nichols,100 Y Fly,Timed Finals,–,52.91,,582,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
37,Luke Snow,50 Y Free,Timed Finals,5th,22.16,,579,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
38,Quinn Risley,100 Y Breast,Timed Finals,4th,01:00.2,,574,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
39,Thomas Rathbun,100 Y Back,Timed Finals,–,53.13,,571,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
40,David Ernstsson,100 Y Back,Timed Finals,–,53.45,,561,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
41,Andrew Parker,200 Y Free,Timed Finals,8th,01:50.8,,557,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
42,Matthew Boyd,50 Y Back,Timed Finals,–,24.34,R,538,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
43,David Ernstsson,50 Y Back,Timed Finals,–,24.43,R,532,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
44,Andrew Parker,50 Y Back,Timed Finals,–,24.48,R,529,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
45,Colter Allen,50 Y Back,Timed Finals,–,24.56,R,524,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
46,Matthew Boyd,100 Y Breast,Timed Finals,6th,01:02.2,,522,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
47,Matt Kamin,100 Y Breast,Timed Finals,7th,01:02.6,,511,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
48,Jack Smith,100 Y Fly,Timed Finals,–,55.7,,499,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
49,Iowa 1,1M Diving,Timed Finals,2nd,291.62,,–,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
50,Iowa 1,1M Diving,Timed Finals,1st,293.27,,–,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
51,Iowa 1,3M Diving,Timed Finals,2nd,263.85,,–,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
52,Iowa 1,3M Diving,Timed Finals,1st,269.7,,–,Iowa vs. UIC,26-Sep-15,SCY,M,2015-2016
1,Emma Sougstad,100 Y IM,Timed Finals,2nd,57.7,,737,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
2,Iowa (A),200 Y Medley Relay,Timed Finals,1st,01:45.2,,718,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
3,Katie Wells,100 Y Breast,Timed Finals,1st,01:05.1,,681,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
4,Iowa (A),200 Y Free Relay,Timed Finals,2nd,01:38.1,,679,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
5,Emma Sougstad,50 Y Free,Timed Finals,–,24.24,R,676,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
6,Olivia Kabacinski,100 Y Breast,Timed Finals,2nd,01:05.3,,675,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
7,Taylor Flummerfelt,100 Y Free,Timed Finals,1st,52.77,,675,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
8,Iowa (B),200 Y Free Relay,Timed Finals,3rd,01:38.3,,674,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
9,Tereysa Lehnertz,50 Y Free,Timed Finals,1st,24.31,,670,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
10,Iowa (B),200 Y Medley Relay,Timed Finals,2nd,01:47.8,,669,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
11,Kelly McNamara,100 Y Fly,Timed Finals,1st,57.34,,663,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
12,Taylor Flummerfelt,50 Y Free,Timed Finals,2nd,24.45,,658,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
13,Carly O'Brien,100 Y IM,Timed Finals,3rd,01:00.2,,648,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
14,Abbegayle Schneider,500 Y Free,Timed Finals,3rd,05:08.3,,646,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
15,Iowa (D),200 Y Free Relay,Timed Finals,4th,01:39.8,,645,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
16,Taylor Flummerfelt,50 Y Free,Timed Finals,–,24.65,R,642,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
17,Iowa (C),200 Y Free Relay,Timed Finals,5th,01:40.4,,633,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
18,Colleen Champa,100 Y IM,Timed Finals,4th,01:00.8,,631,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
19,Serena Wanasek,200 Y Free,Timed Finals,3rd,01:55.6,,629,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
20,Carly O'Brien,50 Y Free,Timed Finals,–,24.87,R,626,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
21,Jennifer Weigand,200 Y Free,Timed Finals,4th,01:55.9,,626,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
22,Devin Jacobs,500 Y Free,Timed Finals,4th,05:11.6,,626,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
23,Shea Hoyt,100 Y Breast,Timed Finals,4th,01:06.9,,625,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
24,Allison Orvis,50 Y Back,Timed Finals,–,27.26,R,624,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
25,Katie Wells,100 Y Back,Timed Finals,1st,58.7,,617,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
26,Allison Orvis,50 Y Free,Timed Finals,5th,25.01,,615,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
27,Serena Wanasek,100 Y Free,Timed Finals,4th,54.46,,614,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
28,Meghan Lavelle,100 Y Free,Timed Finals,5th,54.51,,612,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
29,Iowa (C),200 Y Medley Relay,Timed Finals,5th,01:51.1,,610,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
30,Iowa (D),200 Y Medley Relay,Timed Finals,6th,01:51.3,,608,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
31,Tereysa Lehnertz,100 Y Back,Timed Finals,2nd,59.02,,607,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
32,Meghan Lavelle,50 Y Free,Timed Finals,–,25.16,R,604,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
33,Natalie McGovern,100 Y Back,Timed Finals,3rd,59.15,,603,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
34,Allison Orvis,100 Y Fly,Timed Finals,3rd,59.26,,601,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
35,Rowan Hauber,100 Y IM,Timed Finals,6th,01:02.0,,593,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
36,Lauren Leehy,50 Y Free,Timed Finals,7th,25.33,,592,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
37,Rowan Hauber,50 Y Back,Timed Finals,–,27.86,R,584,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
38,Natalie McGovern,50 Y Back,Timed Finals,–,27.87,R,584,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
39,Isabelle Bindseil,500 Y Free,Timed Finals,5th,05:19.4,,581,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
40,Summer Campbell,100 Y Fly,Timed Finals,4th,01:00.2,,574,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
41,Rowan Hauber,100 Y Free,Timed Finals,7th,55.76,,572,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
42,Jennifer Weigand,100 Y Fly,Timed Finals,7th,01:00.5,,565,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
43,Abbegayle Schneider,100 Y Breast,Timed Finals,5th,01:09.5,,558,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
44,Summer Campbell,200 Y Free,Timed Finals,5th,02:00.7,,554,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
45,Olivia Cook,500 Y Free,Timed Finals,6th,05:27.2,,541,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
46,Olivia Cook,200 Y Free,Timed Finals,6th,02:02.0,,536,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
47,Johanna Jekel,50 Y Back,Timed Finals,–,28.83,R,527,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
48,Johanna Jekel,100 Y Back,Timed Finals,7th,01:02.4,,513,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
49,Iowa Women 2,3M Diving,Timed Finals,2nd,222.9,,–,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
50,Uic 1,3M Diving,Timed Finals,1st,261.3,,–,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
51,Iowa Women 1,3M Diving,Timed Finals,3rd,206.4,,–,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
52,Iowa Women 2,1M Diving,Timed Finals,2nd,201.67,,–,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
53,Uic 1,1M Diving,Timed Finals,3rd,169.72,,–,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
54,Iowa Women 1,1M Diving,Timed Finals,1st,226.35,,–,Iowa vs. UIC,26-Sep-15,SCY,W,2015-2016
1,Iowa (A),200 Y Free Relay,Finals,1st,01:34.4,,761,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
2,Emma Sougstad,100 Y IM,Finals,1st,57.64,,739,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
3,Iowa (B),200 Y Free Relay,Finals,2nd,01:35.8,,728,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
4,Iowa (A),800 Y Free Relay,Finals,1st,07:36.2,,727,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
5,Tereysa Lehnertz,100 Y IM,Finals,2nd,58.8,,696,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
6,Olivia Kabacinski,200 Y Free,Finals,–,01:52.2,R,689,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
7,Iowa (B),800 Y Free Relay,Finals,3rd,07:46.1,,682,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
8,Katie Wells,100 Y IM,Finals,3rd,59.21,,682,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
9,Olivia Kabacinski,100 Y IM,Finals,4th,59.3,,679,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
10,Iowa (C),200 Y Free Relay,Finals,4th,01:38.4,,673,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
11,Tereysa Lehnertz,50 Y Free,Finals,–,24.32,R,669,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
12,Mekenna Scheitlin,100 Y IM,Finals,5th,59.66,,666,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
13,Kelly McNamara,50 Y Free,Finals,–,24.37,R,665,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
14,Allison Orvis,100 Y IM,Finals,7th,59.75,,663,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
15,Nikol Lagodzinska,100 Y IM,Finals,8th,01:00.0,,654,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
16,Devin Jacobs,100 Y IM,Finals,9th,01:00.2,,649,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
17,Iowa (C),800 Y Free Relay,Finals,5th,07:54.2,,647,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
18,Meghan Lavelle,100 Y IM,Finals,10th,01:00.3,,646,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
19,Mekenna Scheitlin,50 Y Free,Finals,–,24.74,R,635,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
20,Colleen Champa,100 Y IM,Finals,12th,01:01.2,,618,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
21,Iowa (D),200 Y Free Relay,Finals,6th,01:41.6,,611,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
