id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401112224,2019,4,regular,2019-09-21T16:00:00.000Z,,false,true,80245,347,Camp Randall Stadium,275,Wisconsin,Big Ten,35,14,14,7,0,0.9993239489418273,130,Michigan,Big Ten,14,0,0,8,6,0.0006760510581726997,1.5613870332
401112253,2019,4,regular,2019-09-21T19:30:00.000Z,,false,false,103190,3861,Ohio Stadium,194,Ohio State,Big Ten,76,7,42,14,13,0.9999952987671579,193,Miami (OH),Mid-American,5,5,0,0,0,0.0000047012328421303096,0.2285563384
401112148,2019,4,regular,2019-09-22T00:00:00.000Z,,false,true,44512,3832,Memorial Stadium,356,Illinois,Big Ten,38,14,7,14,3,0.008917649122289793,158,Nebraska,Big Ten,42,7,7,13,15,0.9910823508777102,8.7233650836
401112204,2019,5,regular,2019-09-28T00:00:00.000Z,,false,true,53228,3665,Maryland Stadium,120,Maryland,Big Ten,0,0,0,0,0,0.003528680149249553,213,Penn State,Big Ten,59,14,24,7,14,0.9964713198507504,1.2400776077
401112193,2019,5,regular,2019-09-28T16:00:00.000Z,,false,false,63706,3793,Kinnick Stadium,2294,Iowa,Big Ten,48,17,7,10,14,0.999992617268665,2393,Middle Tennessee,Conference USA,3,0,0,3,0,0.000007382731335048298,0.369269059499999
401112225,2019,5,regular,2019-09-28T16:00:00.000Z,,false,true,110662,3558,Michigan Stadium,130,Michigan,Big Ten,52,14,10,14,14,0.9999942109873144,164,Rutgers,Big Ten,0,0,0,0,0,0.0000057890126855530966,0.172601285399999
401112247,2019,5,regular,2019-09-28T16:00:00.000Z,,false,true,76825,347,Camp Randall Stadium,275,Wisconsin,Big Ten,24,7,0,7,10,0.6028447233996229,77,Northwestern,Big Ten,15,3,0,0,12,0.3971552766003771,1.92229083059999
401112232,2019,5,regular,2019-09-28T19:30:00.000Z,,false,true,50629,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,31,3,7,7,14,0.10073570170018585,135,Minnesota,Big Ten,38,14,14,10,0,0.8992642982998141,3.4378553454
401112161,2019,5,regular,2019-09-28T19:30:00.000Z,,false,true,71048,3936,Spartan Stadium,127,Michigan State,Big Ten,40,7,14,0,19,0.9720153397709699,84,Indiana,Big Ten,31,7,7,3,14,0.027984660229030123,6.6153972155
401112241,2019,5,regular,2019-09-28T23:30:00.000Z,,false,true,89759,3834,Memorial Stadium,158,Nebraska,Big Ten,7,0,0,7,0,0.003579664976280158,194,Ohio State,Big Ten,48,14,24,10,0,0.9964203350237198,0.7542584295
401112194,2019,6,regular,2019-10-05T16:00:00.000Z,,false,true,111519,3558,Michigan Stadium,130,Michigan,Big Ten,10,10,0,0,0,0.9739467177623277,2294,Iowa,Big Ten,3,0,3,0,0,0.026053282237672337,5.7541884332
401112260,2019,6,regular,2019-10-05T16:00:00.000Z,,false,true,106536,3632,Beaver Stadium,213,Penn State,Big Ten,35,21,7,0,7,0.9996348115180754,2509,Purdue,Big Ten,7,0,7,0,0,0.0003651884819245721,0.3159023905
401112205,2019,6,regular,2019-10-05T16:00:00.000Z,,false,true,30185,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,7,0,7,0,0,0.0041235110312654024,120,Maryland,Big Ten,48,7,20,21,0,0.9958764889687346,1.9888982482
401112269,2019,6,regular,2019-10-05T16:00:00.000Z,,false,false,74559,347,Camp Randall Stadium,275,Wisconsin,Big Ten,48,7,21,13,7,0.9999968334725681,2309,Kent State,Mid-American,0,0,0,0,0,0.000003166527431930355,0.1150731836
401112149,2019,6,regular,2019-10-05T19:30:00.000Z,,false,true,39341,3953,TCF Bank Stadium,135,Minnesota,Big Ten,40,3,13,14,10,0.9999651258124491,356,Illinois,Big Ten,17,7,3,7,0,0.000034874187550881786,2.58565825609999
401112242,2019,6,regular,2019-10-05T20:00:00.000Z,,false,true,89384,3834,Memorial Stadium,158,Nebraska,Big Ten,13,7,3,0,3,0.525732713996187,77,Northwestern,Big Ten,10,0,3,7,0,0.47426728600381296,8.249839187
401112216,2019,6,regular,2019-10-05T23:30:00.000Z,,false,true,104797,3861,Ohio Stadium,194,Ohio State,Big Ten,34,3,24,0,7,0.9916686788096093,127,Michigan State,Big Ten,10,0,10,0,0,0.008331321190390706,1.2566887765
401112206,2019,7,regular,2019-10-12T16:00:00.000Z,,false,true,52296,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,40,13,17,3,7,0.999909384052336,120,Maryland,Big Ten,14,0,14,0,0,0.00009061594766401893,3.43154821729999
401112162,2019,7,regular,2019-10-12T16:00:00.000Z,,false,true,37055,3830,Memorial Stadium,84,Indiana,Big Ten,35,21,0,14,0,0.9999922087565712,164,Rutgers,Big Ten,0,0,0,0,0,0.000007791243428756367,0.1614163073
401112150,2019,7,regular,2019-10-12T16:00:00.000Z,,false,true,37275,3832,Memorial Stadium,356,Illinois,Big Ten,25,0,7,10,8,0.005667925516807311,130,Michigan,Big Ten,42,14,14,0,14,0.9943320744831927,1.1339127634
401112217,2019,7,regular,2019-10-12T19:30:00.000Z,,false,true,80470,347,Camp Randall Stadium,275,Wisconsin,Big Ten,38,7,10,0,21,0.9999557244104839,127,Michigan State,Big Ten,0,0,0,0,0,0.000044275589516140634,1.36349714189999
401112195,2019,7,regular,2019-10-12T23:30:00.000Z,,false,true,69034,3793,Kinnick Stadium,2294,Iowa,Big Ten,12,3,3,0,6,0.4950015120216268,213,Penn State,Big Ten,17,0,7,3,7,0.5049984879783732,7.1493660762
401112233,2019,7,regular,2019-10-12T23:30:00.000Z,,false,true,43502,3953,TCF Bank Stadium,135,Minnesota,Big Ten,34,7,7,20,0,0.9999851032513388,158,Nebraska,Big Ten,7,0,0,0,7,0.000014896748661175074,2.02865320619999
401112248,2019,8,regular,2019-10-19T00:30:00.000Z,,false,true,47330,3911,Ryan Field,77,Northwestern,Big Ten,3,3,0,0,0,0.003552676586036523,194,Ohio State,Big Ten,52,7,24,7,14,0.9964473234139635,0.6901620654
401112151,2019,8,regular,2019-10-19T16:00:00.000Z,,false,true,37363,3832,Memorial Stadium,356,Illinois,Big Ten,24,0,7,7,10,0.03634434247459254,275,Wisconsin,Big Ten,23,7,6,7,3,0.9636556575254075,2.9657493659
401112196,2019,8,regular,2019-10-19T16:00:00.000Z,,false,true,69250,3793,Kinnick Stadium,2294,Iowa,Big Ten,26,6,3,7,10,0.5011798221334332,2509,Purdue,Big Ten,20,0,7,0,13,0.49882017786656685,2.9310512768
401112234,2019,8,regular,2019-10-19T19:30:00.000Z,,false,true,26429,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,7,0,0,0,7,0.0036859922954404043,135,Minnesota,Big Ten,42,7,7,7,21,0.9963140077045596,0.625431054399999
401112163,2019,8,regular,2019-10-19T19:30:00.000Z,,false,true,32606,3665,Maryland Stadium,120,Maryland,Big Ten,28,7,14,7,0,0.13100340575642483,84,Indiana,Big Ten,34,14,10,7,3,0.8689965942435751,6.0082831458
401112226,2019,8,regular,2019-10-19T23:30:00.000Z,,false,true,110669,3632,Beaver Stadium,213,Penn State,Big Ten,28,7,14,0,7,0.7373297514002477,130,Michigan,Big Ten,21,0,7,7,7,0.2626702485997523,4.0725947433
401112266,2019,9,regular,2019-10-26T16:00:00.000Z,,false,false,23058,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,44,7,14,17,6,0.44136794026763276,2335,Liberty,FBS Independents,34,14,7,3,10,0.5586320597323673,4.6757894951
401112254,2019,9,regular,2019-10-26T16:00:00.000Z,,false,true,102998,3861,Ohio Stadium,194,Ohio State,Big Ten,38,0,10,14,14,0.9996684977258133,275,Wisconsin,Big Ten,7,0,0,7,0,0.0003315022741866569,2.42279388009999
401112197,2019,9,regular,2019-10-26T16:00:00.000Z,,false,true,42104,3911,Ryan Field,77,Northwestern,Big Ten,0,0,0,0,0,0.006776549658305508,2294,Iowa,Big Ten,20,7,3,7,3,0.9932234503416945,2.7510473804
401112152,2019,9,regular,2019-10-26T16:00:00.000Z,,false,true,58735,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,6,0,0,0,6,0.005226498656827998,356,Illinois,Big Ten,24,3,14,7,0,0.994773501343172,4.18900012229999
401112164,2019,9,regular,2019-10-26T19:30:00.000Z,,false,true,89317,3834,Memorial Stadium,158,Nebraska,Big Ten,31,14,7,3,7,0.41772069307881243,84,Indiana,Big Ten,38,9,7,15,7,0.5822793069211876,6.89719778269999
401112218,2019,9,regular,2019-10-26T19:30:00.000Z,,false,true,70298,3936,Spartan Stadium,127,Michigan State,Big Ten,7,0,0,7,0,0.017803755339300755,213,Penn State,Big Ten,28,7,14,7,0,0.9821962446606992,2.2829302891
