offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,40111223821,21,false,3,39,61,2,17,3,41,59,0,37,1,40,3,2,PUNT
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223822,22,true,3,88,88,0,37,4,87,87,14,53,,44,2,-11,FUMBLE RETURN TD
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223823,23,false,4,77,77,14,53,4,63,63,12,9,2,44,5,14,PUNT
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,40111223824,24,false,4,30,70,12,9,4,36,64,11,36,,33,2,19,FUMBLE
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223825,25,false,4,49,49,11,36,4,12,12,7,28,4,8,8,37,INT
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,40111223826,26,false,4,50,50,7,28,4,55,45,5,22,2,6,3,5,PUNT
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223827,27,false,4,80,80,5,22,4,71,71,4,42,,40,2,9,INT
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,40111223828,28,false,4,59,41,4,42,4,53,47,2,21,2,21,3,-6,PUNT
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223829,29,false,4,95,95,2,21,4,36,36,0,18,2,3,8,59,DOWNS
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,40111223830,30,false,4,36,64,0,18,4,32,68,0,0,,18,1,-4,END OF GAME
Colorado,Pac-12,Nebraska,Big Ten,401112239,4011122391,1,false,1,25,75,15,0,1,58,42,7,42,7,18,12,33,PUNT
Nebraska,Big Ten,Colorado,Pac-12,401112239,4011122392,2,true,1,97,97,7,42,1,0,0,6,2,1,40,5,96,TD
Colorado,Pac-12,Nebraska,Big Ten,401112239,4011122393,3,false,1,25,75,6,2,1,33,67,3,14,2,48,6,8,PUNT
Nebraska,Big Ten,Colorado,Pac-12,401112239,4011122394,4,false,1,82,82,3,14,1,39,39,0,27,2,47,7,42,FUMBLE
Colorado,Pac-12,Nebraska,Big Ten,401112239,4011122395,5,false,1,35,65,0,27,2,35,65,13,30,1,57,3,-1,PUNT
Nebraska,Big Ten,Colorado,Pac-12,401112239,4011122396,6,true,2,95,95,13,30,2,0,0,6,37,6,53,13,95,TD
Colorado,Pac-12,Nebraska,Big Ten,401112239,4011122397,7,false,2,25,75,6,37,2,30,70,5,46,,51,2,5,INT
Nebraska,Big Ten,Colorado,Pac-12,401112239,4011122398,8,true,2,43,43,5,46,2,9,9,2,47,2,59,6,34,FG
Colorado,Pac-12,Nebraska,Big Ten,401112239,4011122399,9,false,2,25,75,2,47,2,54,46,0,13,2,34,9,29,PUNT
Nebraska,Big Ten,Colorado,Pac-12,401112239,40111223910,10,false,2,80,80,0,13,2,85,85,0,0,,13,1,-5,END OF HALF
Nebraska,Big Ten,Colorado,Pac-12,401112239,40111223911,11,false,3,75,75,15,0,3,66,66,12,0,3,,6,9,PUNT
Colorado,Pac-12,Nebraska,Big Ten,401112239,40111223912,12,false,3,18,82,12,0,3,49,51,8,27,3,33,8,30,PUNT
Nebraska,Big Ten,Colorado,Pac-12,401112239,40111223913,13,false,3,89,89,8,27,3,84,84,7,41,,46,3,5,PUNT
Colorado,Pac-12,Nebraska,Big Ten,401112239,40111223914,14,false,3,48,52,7,41,3,48,52,6,8,1,33,3,0,PUNT
Nebraska,Big Ten,Colorado,Pac-12,401112239,40111223915,15,false,3,85,85,6,8,3,86,86,4,6,2,2,3,-1,PUNT
Colorado,Pac-12,Nebraska,Big Ten,401112239,40111223916,16,true,3,35,65,4,6,3,100,0,1,42,2,24,8,64,TD
Nebraska,Big Ten,Colorado,Pac-12,401112239,40111223917,17,false,3,75,75,1,42,4,48,48,14,36,2,6,7,27,PUNT
Colorado,Pac-12,Nebraska,Big Ten,401112239,40111223918,18,true,4,3,97,14,36,4,100,0,14,22,,14,1,96,TD
Nebraska,Big Ten,Colorado,Pac-12,401112239,40111223919,19,true,4,75,75,14,22,4,0,0,14,9,,13,1,75,TD
Colorado,Pac-12,Nebraska,Big Ten,401112239,40111223920,20,true,4,25,75,14,9,4,100,0,12,19,1,50,5,75,TD
Nebraska,Big Ten,Colorado,Pac-12,401112239,40111223921,21,false,4,75,75,12,19,4,73,73,10,50,1,29,3,-5,FUMBLE
Colorado,Pac-12,Nebraska,Big Ten,401112239,40111223922,22,true,4,80,20,10,50,4,97,3,8,30,2,20,7,17,FG
Nebraska,Big Ten,Colorado,Pac-12,401112239,40111223923,23,true,4,75,75,8,30,4,0,0,5,49,2,41,8,75,TD
