offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Indiana,Big Ten,Connecticut,American Athletic,401112160,40111216011,11,false,2,27,73,0,2,2,25,75,0,0,,2,1,-2,END OF HALF
Connecticut,American Athletic,Indiana,Big Ten,401112160,40111216012,12,true,3,75,75,15,0,3,52,52,12,50,2,10,5,23,INT TD
Connecticut,American Athletic,Indiana,Big Ten,401112160,40111216014,13,false,3,75,75,12,50,3,58,58,9,41,3,9,6,17,PUNT
Indiana,Big Ten,Connecticut,American Athletic,401112160,40111216015,14,true,3,10,90,9,41,3,100,0,4,37,5,4,10,90,TD
Connecticut,American Athletic,Indiana,Big Ten,401112160,40111216016,15,false,3,75,75,4,37,3,70,70,3,11,1,26,3,5,PUNT
Indiana,Big Ten,Connecticut,American Athletic,401112160,40111216017,16,false,3,37,63,3,11,3,50,50,1,55,1,16,3,13,INT
Connecticut,American Athletic,Indiana,Big Ten,401112160,40111216018,17,false,3,48,48,1,55,4,29,29,12,58,3,57,8,19,DOWNS
Indiana,Big Ten,Connecticut,American Athletic,401112160,40111216019,18,true,4,30,70,12,58,4,100,0,8,47,4,11,8,70,TD
Connecticut,American Athletic,Indiana,Big Ten,401112160,40111216020,19,false,4,75,75,8,47,4,59,59,6,19,2,28,5,16,PUNT
Indiana,Big Ten,Connecticut,American Athletic,401112160,40111216021,20,false,4,14,86,6,19,4,61,39,0,0,6,19,10,47,END OF GAME
Michigan State,Big Ten,Indiana,Big Ten,401112161,4011121611,1,false,1,25,75,15,0,1,75,25,11,51,3,9,10,50,MISSED FG
Indiana,Big Ten,Michigan State,Big Ten,401112161,4011121612,2,false,1,75,75,11,51,1,71,71,10,15,1,36,3,4,PUNT
Michigan State,Big Ten,Indiana,Big Ten,401112161,4011121613,3,true,1,29,71,10,15,1,100,0,8,4,2,11,6,71,TD
Indiana,Big Ten,Michigan State,Big Ten,401112161,4011121614,4,false,1,73,73,7,59,1,60,60,4,50,3,9,7,13,DOWNS
Michigan State,Big Ten,Indiana,Big Ten,401112161,4011121615,5,false,1,60,40,4,50,1,68,32,3,39,1,11,4,8,DOWNS
Indiana,Big Ten,Michigan State,Big Ten,401112161,4011121616,6,true,1,68,68,3,39,1,0,0,1,35,2,4,6,68,TD
Michigan State,Big Ten,Indiana,Big Ten,401112161,4011121617,7,true,1,25,75,1,35,2,100,0,12,55,3,40,10,75,TD
Indiana,Big Ten,Michigan State,Big Ten,401112161,4011121618,8,false,2,72,72,12,46,2,66,66,11,13,1,33,3,6,PUNT
Michigan State,Big Ten,Indiana,Big Ten,401112161,4011121619,9,false,2,28,72,11,13,2,45,55,9,45,1,28,5,17,PUNT
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216110,10,true,2,80,80,9,45,2,0,0,4,7,5,38,10,80,TD
Michigan State,Big Ten,Indiana,Big Ten,401112161,40111216111,11,false,2,30,70,4,0,2,37,63,2,13,1,47,6,7,PUNT
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216112,12,false,2,87,87,2,13,2,82,82,1,19,,54,3,5,PUNT
Michigan State,Big Ten,Indiana,Big Ten,401112161,40111216113,13,true,2,44,56,1,19,2,100,0,0,33,,46,5,56,TD
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216114,14,false,2,75,75,0,28,2,77,77,0,0,,28,1,-2,END OF HALF
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216115,15,true,3,89,89,14,55,3,8,8,8,23,6,32,12,81,FG
Michigan State,Big Ten,Indiana,Big Ten,401112161,40111216116,16,false,3,28,72,8,17,3,54,46,6,28,1,49,4,26,PUNT
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216117,17,true,3,80,80,6,28,4,0,0,14,52,6,36,13,80,TD
Michigan State,Big Ten,Indiana,Big Ten,401112161,40111216118,18,false,4,25,75,14,52,4,25,75,14,16,,36,3,0,PUNT
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216119,19,false,4,89,89,14,16,4,93,93,12,42,1,34,3,-4,PUNT
Michigan State,Big Ten,Indiana,Big Ten,401112161,40111216120,20,true,4,74,26,12,42,4,100,0,12,12,,30,2,26,TD
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216121,21,false,4,73,73,12,8,4,65,65,9,58,2,10,3,8,PUNT
Michigan State,Big Ten,Indiana,Big Ten,401112161,40111216122,22,true,4,20,80,9,58,4,74,26,3,33,6,25,13,54,FG
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216123,23,true,4,78,78,3,27,4,0,0,2,0,1,27,6,78,TD
Michigan State,Big Ten,Indiana,Big Ten,401112161,40111216124,24,true,4,25,75,2,0,4,97,3,0,5,1,55,5,72,FG
Indiana,Big Ten,Michigan State,Big Ten,401112161,40111216125,25,true,4,75,75,0,5,4,100,100,0,0,,5,1,-25,FUMBLE TD
Rutgers,Big Ten,Indiana,Big Ten,401112162,4011121621,1,true,1,75,75,15,0,1,83,83,14,50,,10,1,-8,FUMBLE TD
Rutgers,Big Ten,Indiana,Big Ten,401112162,4011121623,2,false,1,75,75,14,50,1,69,69,13,1,1,49,3,6,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,4011121624,3,true,1,30,70,13,1,1,100,0,12,14,,47,2,70,TD
Rutgers,Big Ten,Indiana,Big Ten,401112162,4011121625,4,false,1,83,83,12,14,1,82,82,10,51,1,23,3,1,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,4011121626,5,true,1,41,59,10,51,1,100,0,8,8,2,43,5,59,TD
Rutgers,Big Ten,Indiana,Big Ten,401112162,4011121627,6,false,1,73,73,8,8,1,39,39,4,53,3,15,6,34,DOWNS
Indiana,Big Ten,Rutgers,Big Ten,401112162,4011121628,7,false,1,39,61,4,53,1,52,48,2,43,2,10,5,13,INT
Rutgers,Big Ten,Indiana,Big Ten,401112162,4011121629,8,false,1,57,57,2,43,1,54,54,1,21,1,22,3,3,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216210,9,false,1,13,87,1,21,2,40,60,14,37,1,44,5,27,PUNT
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216211,10,false,2,95,95,14,37,2,96,96,13,13,1,24,3,-1,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216212,11,false,2,48,52,13,13,2,54,46,13,3,,10,1,6,FUMBLE
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216213,12,false,2,48,48,13,3,2,38,38,10,13,2,50,5,10,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216214,13,false,2,3,97,10,13,2,14,86,7,39,2,34,5,11,PUNT
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216215,14,false,2,52,52,7,39,2,67,67,5,38,2,1,3,-15,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216216,15,false,2,22,78,5,38,2,52,48,4,26,1,12,4,30,PUNT
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216217,16,false,2,90,90,4,26,2,54,54,2,22,2,4,5,36,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216218,17,false,2,1,99,2,22,2,95,5,0,38,1,44,6,94,DOWNS
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216219,18,false,2,94,94,0,38,2,90,90,0,0,,38,1,4,END OF HALF
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216220,19,true,3,29,71,15,0,3,100,0,12,55,2,5,4,71,TD
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216221,20,false,3,73,73,12,55,3,70,70,11,9,1,46,3,3,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216222,21,true,3,2,98,11,9,3,100,0,4,2,7,7,13,98,TD
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216223,22,false,3,71,71,4,2,3,74,74,2,18,1,44,3,-3,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216224,23,false,3,13,87,2,18,4,50,50,13,25,3,53,8,37,PUNT
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216225,24,false,4,91,91,13,25,4,76,76,10,52,2,33,5,15,PUNT
Indiana,Big Ten,Rutgers,Big Ten,401112162,40111216226,25,false,4,29,71,10,52,4,79,21,0,43,10,9,15,50,DOWNS
Rutgers,Big Ten,Indiana,Big Ten,401112162,40111216227,26,false,4,79,79,0,43,4,89,89,0,0,,43,2,-10,END OF GAME
Indiana,Big Ten,Maryland,Big Ten,401112163,4011121632,1,true,1,69,69,15,0,1,0,0,13,3,1,57,5,69,TD
Maryland,Big Ten,Indiana,Big Ten,401112163,4011121633,2,true,1,25,75,12,58,1,100,0,9,41,3,17,8,75,TD
Indiana,Big Ten,Maryland,Big Ten,401112163,4011121634,3,true,1,75,75,9,36,1,0,0,6,31,3,5,8,75,TD
Maryland,Big Ten,Indiana,Big Ten,401112163,4011121635,4,false,1,23,77,6,27,1,32,68,5,34,,53,3,9,PUNT
Indiana,Big Ten,Maryland,Big Ten,401112163,4011121636,5,false,1,71,71,5,34,1,62,62,4,0,1,34,4,9,PUNT
Maryland,Big Ten,Indiana,Big Ten,401112163,4011121637,6,false,1,26,74,4,0,1,49,51,1,13,2,47,7,23,DOWNS
Indiana,Big Ten,Maryland,Big Ten,401112163,4011121638,7,false,1,49,49,1,13,2,10,10,13,21,2,52,6,39,INT
Maryland,Big Ten,Indiana,Big Ten,401112163,4011121639,8,true,2,20,80,13,21,2,100,0,12,5,1,16,4,80,TD
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216310,9,true,2,79,79,12,0,2,2,2,7,36,4,24,12,77,FG
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216311,10,true,2,25,75,7,36,2,100,0,4,9,3,27,7,75,TD
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216312,11,true,2,63,63,4,2,2,0,0,0,24,3,38,8,63,TD
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216313,12,false,2,18,82,0,22,2,25,75,0,0,,22,1,7,END OF HALF
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216314,13,false,3,30,70,14,53,3,35,65,13,24,1,29,3,5,PUNT
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216315,14,false,3,95,95,13,24,3,46,46,10,24,3,,5,49,PUNT
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216316,15,false,3,14,86,10,24,3,29,71,8,9,2,15,5,15,PUNT
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216317,16,false,3,64,64,8,9,3,56,56,6,10,1,59,3,8,PUNT
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216318,17,false,3,14,86,6,10,3,14,86,4,49,1,21,3,0,PUNT
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216319,18,true,3,62,62,4,49,3,0,0,2,32,2,17,5,62,TD
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216320,19,true,3,19,81,2,27,3,100,0,0,1,2,26,6,81,TD
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216321,20,false,4,96,96,15,0,4,39,39,7,56,7,4,10,57,PUNT
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216322,21,false,4,20,80,7,56,4,36,64,5,22,2,34,6,16,PUNT
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216323,22,false,4,72,72,5,22,4,66,66,3,50,1,32,3,6,PUNT
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216324,23,false,4,18,82,3,50,4,15,85,3,42,,8,1,-3,FUMBLE
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216325,24,true,4,15,15,3,42,4,16,16,2,49,,53,4,-1,FG
Maryland,Big Ten,Indiana,Big Ten,401112163,40111216326,25,false,4,25,75,2,49,4,58,42,1,0,1,49,10,33,INT
Indiana,Big Ten,Maryland,Big Ten,401112163,40111216327,26,false,4,90,90,1,0,4,93,93,0,0,1,,2,-3,END OF GAME
Nebraska,Big Ten,Indiana,Big Ten,401112164,4011121641,1,true,1,25,75,15,0,1,100,0,13,32,1,28,5,75,TD
Indiana,Big Ten,Nebraska,Big Ten,401112164,4011121642,2,true,1,74,74,13,27,1,3,3,8,45,4,42,11,71,FG
Nebraska,Big Ten,Indiana,Big Ten,401112164,4011121643,3,true,1,25,75,8,45,1,100,0,6,57,1,48,5,75,TD
Indiana,Big Ten,Nebraska,Big Ten,401112164,4011121644,4,true,1,71,71,6,53,1,0,0,3,23,3,30,7,71,TD
Nebraska,Big Ten,Indiana,Big Ten,401112164,4011121645,5,false,1,25,75,3,23,2,76,24,12,24,5,59,15,51,FUMBLE
Indiana,Big Ten,Nebraska,Big Ten,401112164,4011121646,6,true,2,8,8,12,24,2,0,0,12,19,,5,1,8,TD
Nebraska,Big Ten,Indiana,Big Ten,401112164,4011121647,7,false,2,37,63,12,13,2,85,15,8,44,3,29,8,48,MISSED FG
Indiana,Big Ten,Nebraska,Big Ten,401112164,4011121648,8,false,2,80,80,8,44,2,50,50,5,25,3,19,6,30,PUNT
Nebraska,Big Ten,Indiana,Big Ten,401112164,4011121649,9,false,2,3,97,5,25,2,12,88,3,37,1,48,3,9,PUNT
Indiana,Big Ten,Nebraska,Big Ten,401112164,40111216410,10,false,2,53,53,3,37,2,23,23,1,52,1,45,4,30,INT
Nebraska,Big Ten,Indiana,Big Ten,401112164,40111216411,11,true,2,26,74,1,52,2,100,0,0,39,1,13,6,74,TD
Indiana,Big Ten,Nebraska,Big Ten,401112164,40111216412,12,false,2,91,91,0,34,2,93,93,0,0,,34,1,-2,END OF HALF
Indiana,Big Ten,Nebraska,Big Ten,401112164,40111216413,13,false,3,78,78,14,55,3,48,48,11,26,3,29,9,30,PUNT
Nebraska,Big Ten,Indiana,Big Ten,401112164,40111216414,14,false,3,8,92,11,26,3,16,84,9,57,1,29,3,8,PUNT
Indiana,Big Ten,Nebraska,Big Ten,401112164,40111216415,15,true,3,35,35,9,57,3,0,0,7,30,2,27,5,35,TD
Nebraska,Big Ten,Indiana,Big Ten,401112164,40111216416,16,true,3,25,75,7,30,3,88,12,2,53,4,37,13,63,FG
Indiana,Big Ten,Nebraska,Big Ten,401112164,40111216417,17,true,3,65,65,2,53,3,0,0,0,0,2,53,6,65,TD
Nebraska,Big Ten,Indiana,Big Ten,401112164,40111216418,18,false,4,36,64,14,55,4,57,43,14,25,,30,2,21,FUMBLE
Indiana,Big Ten,Nebraska,Big Ten,401112164,40111216419,19,true,4,57,57,14,25,4,0,0,12,8,2,17,7,57,TD
Nebraska,Big Ten,Indiana,Big Ten,401112164,40111216420,20,true,4,25,75,12,8,4,100,0,10,21,1,47,6,75,TD
Indiana,Big Ten,Nebraska,Big Ten,401112164,40111216421,21,false,4,75,75,10,21,4,40,40,6,36,3,45,6,35,PUNT
Nebraska,Big Ten,Indiana,Big Ten,401112164,40111216422,22,false,4,7,93,6,36,4,66,34,3,23,3,13,9,59,DOWNS
Indiana,Big Ten,Nebraska,Big Ten,401112164,40111216423,23,false,4,66,66,3,23,4,37,37,0,0,3,23,9,29,END OF GAME
Indiana,Big Ten,Northwestern,Big Ten,401112165,4011121651,1,true,1,25,75,15,0,1,92,8,9,39,5,21,11,67,FG
Northwestern,Big Ten,Indiana,Big Ten,401112165,4011121652,2,false,1,75,75,9,39,1,53,53,0,0,,,1,22,FUMBLE
Indiana,Big Ten,Northwestern,Big Ten,401112165,4011121653,3,true,1,53,47,9,27,1,100,0,6,40,2,47,7,47,TD
Northwestern,Big Ten,Indiana,Big Ten,401112165,4011121654,4,true,1,65,65,6,40,2,7,7,14,18,7,22,15,58,FG
Indiana,Big Ten,Northwestern,Big Ten,401112165,4011121655,5,false,2,27,73,14,18,2,47,53,0,0,,,5,20,PUNT
Northwestern,Big Ten,Indiana,Big Ten,401112165,4011121656,6,false,2,80,80,12,52,2,82,82,0,0,,,1,-2,FUMBLE
Indiana,Big Ten,Northwestern,Big Ten,401112165,4011121657,7,true,2,82,18,12,44,2,100,0,11,10,1,34,4,18,TD
Northwestern,Big Ten,Indiana,Big Ten,401112165,4011121658,8,false,2,75,75,11,10,2,50,50,0,0,,,8,25,PUNT
Indiana,Big Ten,Northwestern,Big Ten,401112165,4011121659,9,true,2,15,85,7,6,2,100,0,2,36,4,30,8,85,TD
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216510,10,false,2,75,75,2,36,2,75,75,0,0,,,3,0,PUNT
Indiana,Big Ten,Northwestern,Big Ten,401112165,40111216511,11,false,2,37,63,2,13,2,57,43,0,0,,,3,20,PUNT
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216512,12,false,2,92,92,1,4,2,37,37,0,0,1,4,7,55,FUMBLE
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216514,13,false,3,75,75,15,0,3,75,75,0,0,,,3,0,PUNT
Indiana,Big Ten,Northwestern,Big Ten,401112165,40111216515,14,false,3,27,73,14,33,3,54,46,0,0,,,6,27,PUNT
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216516,15,false,3,89,89,11,18,3,80,80,0,0,,,3,9,PUNT
Indiana,Big Ten,Northwestern,Big Ten,401112165,40111216517,16,false,3,35,65,10,13,3,44,56,0,0,,,6,9,PUNT
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216518,17,false,3,89,89,6,48,3,83,83,0,0,,,5,6,PUNT
Indiana,Big Ten,Northwestern,Big Ten,401112165,40111216519,18,true,3,48,52,4,42,3,100,0,1,33,3,9,6,52,TD
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216520,19,false,3,75,75,1,33,3,75,75,0,0,,,5,0,PUNT
Indiana,Big Ten,Northwestern,Big Ten,401112165,40111216521,20,true,3,40,60,0,10,4,88,12,12,28,2,42,8,48,FG
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216522,21,false,4,75,75,12,28,4,60,60,0,0,,,5,15,PUNT
Indiana,Big Ten,Northwestern,Big Ten,401112165,40111216523,22,false,4,26,74,11,27,4,61,39,6,10,5,17,7,35,PUNT
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216524,23,false,4,96,96,6,10,4,92,92,0,0,,,3,4,PUNT
Indiana,Big Ten,Northwestern,Big Ten,401112165,40111216525,24,false,4,55,45,4,44,4,83,17,0,0,,,7,28,DOWNS
Northwestern,Big Ten,Indiana,Big Ten,401112165,40111216526,25,false,4,82,82,0,36,4,80,80,0,0,,36,1,2,END OF GAME
Penn State,Big Ten,Indiana,Big Ten,401112166,4011121661,1,false,1,22,78,15,0,1,19,81,13,50,1,10,3,-3,FUMBLE
Penn State,Big Ten,Indiana,Big Ten,401112166,4011121662,2,true,1,73,27,13,50,1,100,0,12,4,1,46,5,27,TD
Indiana,Big Ten,Penn State,Big Ten,401112166,4011121663,3,true,1,75,75,12,4,1,0,0,9,31,2,33,6,75,TD
Penn State,Big Ten,Indiana,Big Ten,401112166,4011121664,4,true,1,13,87,9,31,1,71,29,6,22,3,9,7,58,FG
Indiana,Big Ten,Penn State,Big Ten,401112166,4011121665,5,true,1,63,63,6,22,1,0,0,3,27,2,55,7,63,TD
Penn State,Big Ten,Indiana,Big Ten,401112166,4011121666,6,true,1,28,72,3,27,1,100,0,1,3,2,24,5,72,TD
Indiana,Big Ten,Penn State,Big Ten,401112166,4011121667,7,false,1,75,75,1,3,2,61,61,14,8,1,55,5,14,PUNT
Penn State,Big Ten,Indiana,Big Ten,401112166,4011121668,8,false,2,24,76,14,8,2,78,22,11,40,2,28,9,52,FUMBLE
Indiana,Big Ten,Penn State,Big Ten,401112166,4011121669,9,false,2,76,76,11,40,2,72,72,10,45,,55,2,14,FUMBLE
Penn State,Big Ten,Indiana,Big Ten,401112166,40111216610,10,false,2,62,38,10,45,2,48,52,9,29,1,16,3,-14,PUNT
Indiana,Big Ten,Penn State,Big Ten,401112166,40111216611,11,false,2,92,92,9,29,2,76,76,6,47,2,42,5,16,PUNT
Penn State,Big Ten,Indiana,Big Ten,401112166,40111216612,12,true,2,41,59,6,47,2,91,9,3,3,3,44,9,50,FG
Indiana,Big Ten,Penn State,Big Ten,401112166,40111216613,13,false,2,75,75,3,3,2,50,50,0,19,2,44,8,25,PUNT
Penn State,Big Ten,Indiana,Big Ten,401112166,40111216614,14,false,2,19,81,0,19,2,16,84,0,0,,19,1,-3,END OF HALF
Indiana,Big Ten,Penn State,Big Ten,401112166,40111216615,15,false,3,75,75,15,0,3,56,56,10,52,4,8,7,15,DOWNS
Penn State,Big Ten,Indiana,Big Ten,401112166,40111216616,16,true,3,60,40,10,52,3,100,0,10,24,,28,2,40,TD
Indiana,Big Ten,Penn State,Big Ten,401112166,40111216617,17,true,3,75,75,10,24,3,7,7,3,4,7,20,14,68,FG
Penn State,Big Ten,Indiana,Big Ten,401112166,40111216618,18,false,3,25,75,3,4,3,58,42,1,7,1,57,7,33,PUNT
Indiana,Big Ten,Penn State,Big Ten,401112166,40111216619,19,true,3,91,91,1,7,4,0,0,10,45,5,22,11,91,TD
Penn State,Big Ten,Indiana,Big Ten,401112166,40111216620,20,true,4,25,75,10,45,4,100,0,1,44,9,1,18,75,TD
Indiana,Big Ten,Penn State,Big Ten,401112166,40111216621,21,true,4,75,75,1,44,4,9,9,0,13,1,31,9,66,FG
Penn State,Big Ten,Indiana,Big Ten,401112166,40111216622,22,false,4,48,52,0,13,4,48,52,0,0,,,0,0,Uncategorized
Indiana,Big Ten,Michigan,Big Ten,401112167,4011121671,1,true,1,25,75,15,0,1,100,0,10,7,4,53,10,75,TD
Michigan,Big Ten,Indiana,Big Ten,401112167,4011121672,2,true,1,80,80,10,7,1,0,0,5,45,4,22,8,80,TD
Indiana,Big Ten,Michigan,Big Ten,401112167,4011121673,3,false,1,25,75,5,45,1,51,49,3,42,2,3,4,26,INT
Michigan,Big Ten,Indiana,Big Ten,401112167,4011121674,4,false,1,69,69,3,42,1,79,79,1,53,1,49,5,-10,PUNT
Indiana,Big Ten,Michigan,Big Ten,401112167,4011121675,5,true,1,48,52,1,53,2,100,0,14,9,2,44,7,52,TD
Michigan,Big Ten,Indiana,Big Ten,401112167,4011121676,6,true,2,62,62,14,9,2,0,0,11,1,3,8,8,62,TD
Indiana,Big Ten,Michigan,Big Ten,401112167,4011121677,7,false,2,25,75,11,1,2,39,61,9,27,1,34,3,14,PUNT
Michigan,Big Ten,Indiana,Big Ten,401112167,4011121678,8,false,2,68,68,9,27,2,62,62,7,53,1,34,3,6,PUNT
Indiana,Big Ten,Michigan,Big Ten,401112167,4011121679,9,false,2,38,62,7,53,2,44,56,7,3,,50,3,6,PUNT
Michigan,Big Ten,Indiana,Big Ten,401112167,40111216710,10,true,2,80,80,7,3,2,0,0,5,37,1,26,4,80,TD
Indiana,Big Ten,Michigan,Big Ten,401112167,40111216711,11,false,2,25,75,5,37,2,30,70,3,26,2,11,3,5,PUNT
Michigan,Big Ten,Indiana,Big Ten,401112167,40111216712,12,false,2,83,83,3,26,2,43,43,0,44,2,42,6,40,PUNT
Indiana,Big Ten,Michigan,Big Ten,401112167,40111216713,13,false,2,4,96,0,44,2,18,82,0,0,,44,2,14,END OF HALF
Michigan,Big Ten,Indiana,Big Ten,401112167,40111216714,14,true,3,72,72,15,0,3,9,9,10,4,4,56,11,63,FG
Indiana,Big Ten,Michigan,Big Ten,401112167,40111216715,15,false,3,25,75,10,4,3,58,42,6,3,4,1,8,33,PUNT
Michigan,Big Ten,Indiana,Big Ten,401112167,40111216716,16,true,3,80,80,6,3,3,0,0,5,10,,53,2,80,TD
Indiana,Big Ten,Michigan,Big Ten,401112167,40111216717,17,false,3,25,75,5,10,3,26,74,3,59,1,11,2,1,PUNT
Michigan,Big Ten,Indiana,Big Ten,401112167,40111216718,18,false,3,74,74,3,59,3,60,60,2,3,1,56,4,14,PUNT
Indiana,Big Ten,Michigan,Big Ten,401112167,40111216719,19,false,3,29,71,2,3,3,29,71,1,46,,17,3,-10,FUMBLE
Michigan,Big Ten,Indiana,Big Ten,401112167,40111216720,20,true,3,19,19,1,46,3,0,0,1,39,,7,1,19,TD
Indiana,Big Ten,Michigan,Big Ten,401112167,40111216721,21,false,3,25,75,1,39,4,96,4,13,20,3,19,9,71,DOWNS
Michigan,Big Ten,Indiana,Big Ten,401112167,40111216722,22,false,4,96,96,13,20,4,26,26,8,7,5,13,10,70,INT
Indiana,Big Ten,Michigan,Big Ten,401112167,40111216723,23,false,4,17,83,8,7,4,65,35,0,0,8,7,13,48,END OF 4TH QUARTER
Purdue,Big Ten,Indiana,Big Ten,401112168,4011121681,1,false,1,21,79,15,0,1,77,23,12,22,2,38,8,56,INT
Indiana,Big Ten,Purdue,Big Ten,401112168,4011121682,2,true,1,91,91,12,22,1,0,0,5,38,6,44,12,91,TD
Purdue,Big Ten,Indiana,Big Ten,401112168,4011121683,3,false,1,25,75,5,38,1,47,53,0,0,,,9,22,DOWNS
Indiana,Big Ten,Purdue,Big Ten,401112168,4011121684,4,true,1,47,47,2,48,2,0,0,12,39,5,9,11,47,TD
Purdue,Big Ten,Indiana,Big Ten,401112168,4011121685,5,true,2,25,75,12,39,2,97,3,9,52,2,47,7,72,FG
Indiana,Big Ten,Purdue,Big Ten,401112168,4011121686,6,false,2,78,78,9,52,2,71,71,0,0,,,4,7,PUNT
Purdue,Big Ten,Indiana,Big Ten,401112168,4011121687,7,true,2,25,75,7,47,2,100,0,7,4,,43,3,75,TD
Indiana,Big Ten,Purdue,Big Ten,401112168,4011121688,8,true,2,75,75,7,4,2,0,0,3,20,3,44,8,75,TD
Purdue,Big Ten,Indiana,Big Ten,401112168,4011121689,9,false,2,18,82,3,20,2,22,78,0,0,,,3,4,PUNT
Indiana,Big Ten,Purdue,Big Ten,401112168,40111216810,10,false,2,56,56,2,23,2,22,22,0,54,1,29,5,34,MISSED FG
Purdue,Big Ten,Indiana,Big Ten,401112168,40111216811,11,false,2,22,78,0,54,2,78,22,0,0,,54,5,56,MISSED FG
Indiana,Big Ten,Purdue,Big Ten,401112168,40111216813,12,false,3,75,75,15,0,3,35,35,0,0,,,9,40,PUNT
Purdue,Big Ten,Indiana,Big Ten,401112168,40111216814,13,false,3,20,80,9,26,3,35,65,0,0,,,1,15,FUMBLE
Indiana,Big Ten,Purdue,Big Ten,401112168,40111216815,14,false,3,35,35,9,20,3,25,25,7,38,1,42,6,10,MISSED FG
Purdue,Big Ten,Indiana,Big Ten,401112168,40111216816,15,false,3,25,75,7,38,3,55,45,0,0,,,6,30,DOWNS
Indiana,Big Ten,Purdue,Big Ten,401112168,40111216817,16,true,3,55,55,5,56,3,0,0,3,30,2,26,6,55,TD
Purdue,Big Ten,Indiana,Big Ten,401112168,40111216818,17,true,3,25,75,3,30,3,100,0,1,44,1,46,6,75,TD
Indiana,Big Ten,Purdue,Big Ten,401112168,40111216819,18,false,3,75,75,1,44,4,9,9,12,21,4,23,8,66,MISSED FG
Purdue,Big Ten,Indiana,Big Ten,401112168,40111216820,19,true,4,20,80,12,21,4,100,0,9,13,3,8,9,80,TD
Indiana,Big Ten,Purdue,Big Ten,401112168,40111216821,20,true,4,65,65,9,13,4,23,23,5,8,4,5,9,42,FG
Purdue,Big Ten,Indiana,Big Ten,401112168,40111216822,21,true,4,25,75,5,8,4,100,0,2,48,2,20,9,75,TD
Indiana,Big Ten,Purdue,Big Ten,401112168,40111216823,22,false,4,57,57,2,48,4,57,57,0,0,,,3,0,PUNT
Purdue,Big Ten,Indiana,Big Ten,401112168,40111216824,23,false,4,2,98,2,11,4,60,40,0,0,,,9,58,DOWNS
Indiana,Big Ten,Purdue,Big Ten,401112168,40111216825,24,false,4,60,60,0,7,4,60,60,0,0,,7,1,0,END OF 4TH QUARTER
